Location Name,Short Description,Video URL
GS Dodongo's Cavern East Side Room,use the baby dodongo to blow up the wall,
Dodongos Cavern Far Bridge,hover onto the head or hookshot jump,
GS Dodongo's Cavern Alcove Above Stairs,hover to it from within the alcove after running around,
GS Dodongo's Cavern Alcove Above Stairs,Hoverboost to it,
Dodongos Cavern Boss Area,"Connected to lobby, hover into head and jump into the door",https://www.youtube.com/watch?v=PU7FfP0zYiM
Ice Cavern Compass/HP,child clip,https://www.youtube.com/watch?v=KWuhClJKaNU
Ice Cavern Iron Boots Chest,adult hover recoil or hess through red ice,
Ice Cavern Block puzzle GS,clip red ice as child or hoverboost as adult,https://www.youtube.com/watch?v=asxpTMImoJ4
Fire Temple BK Skip with Hovering,"ledge clip the boss platform, hover oob",https://www.youtube.com/watch?v=iFGpHVLysoI
Fire temple 2nd Flare dancer,Break door and reload the room,https://www.youtube.com/watch?v=-bOCrfxafnw&feature=youtu.be
Fire Temple BK Skip with Hovering,"ledge clip the boss platform, hover oob",
Deku Tree Boss Room,only is_adult because 231 skip from compass room,
GS Kokiri Forest House of Twins,get into the roof as adult with just isg,https://www.youtube.com/watch?v=0athDHNrqz4
Bottom of the Well Defeat Boss,actor glitch or vine clip,
Fire Trial,Gold gauntlets skip without hovers,https://www.youtube.com/watch?v=knD785hDfjw
Spirit Trial,Weirdshot the torch slug,https://www.youtube.com/watch?v=1fYWFCiozc8
Spirit Trial,Rupee without hookshot/shield,https://www.twitch.tv/videos/49443412
Water Temple Cracked Wall Chest,hookshot the chest around the door above,https://www.youtube.com/watch?v=xzUnMvDBwo0&feature=youtu.be
Water Temple,various tricks to get around in water temple,https://www.youtube.com/watch?v=jLWPQ__MO4A
Water Temple,hover to river chest from dragon head room,https://www.youtube.com/watch?v=ZgyG1JLxLF4&feature=youtu.be
Water Temple,song of time skip for longshot to river,https://www.youtube.com/watch?v=rOFJipW6aoQ
Water Temple,access various areas with ledge clip,
Lake Hylia to Zora's Domain,child navi dive and adult can ground clip or swim around if morpha beaten,https://www.youtube.com/watch?v=LOgjpPd5A_Y https://www.youtube.com/watch?v=W6I_moafi8A
Water Temple Lobby from Lake Hylia,house clip and if the water is up fall through the void and swim in,
Water Temple,child entry,https://www.youtube.com/watch?v=CU57Cpgtsv8
Temple of Time,child swordless dot skip and adult dot skip,https://www.youtube.com/watch?v=GRyP43DidF8 https://www.youtube.com/watch?v=aolcugsrlkg
Hyrule Castle,clip into din's fire without explosives swordless,https://www.youtube.com/watch?v=WGf-8oJQrWk
Hyrule Castle,seam walk swordless,https://www.youtube.com/watch?v=5R6-ViFgoiY
Kokiri Forest,rock push escape,https://www.youtube.com/watch?v=kvW3sJmmmBY
Outside Ganon's Castle,damage clip into double defense,https://www.youtube.com/watch?v=I3pwrLRSo8U
Outside Ganon's Castle,superslide / recoil clip into double defense,https://www.youtube.com/watch?v=dJQTB4TKJh8 https://www.youtube.com/watch?v=UoPvmiHUMhQ
GS Kakariko Watchtower,drop off ladder and jumpslash,
Graveyard stuff,unload graves and shadow door,https://www.youtube.com/watch?v=MKXJHbEpkcw
DMT chest clip,jumpslash clip past the explody wall,https://www.youtube.com/watch?v=wlDgntC5MS0
DMC upper from DMT,tektite hover,
DMT Magic,explosiveless magic,
Goron City,boulder maze hess,
Goron City,pot with chus,https://www.youtube.com/watch?v=RlBz7qFljZQ
Goron City,clip into darunia's room,
DMC Lower,clip statue in darunia's chamber as child,
DMC Hammer Grotto,weirdclip,
Zora's River clip to LW,clip or cucco dive,https://www.youtube.com/watch?v=zy9sW50GXhQ
Domain to Lake clip,jumpslash clip,https://www.youtube.com/watch?v=Tw0E7nCSVLE
GS Domain,throw pot through the ceiling to kill jumpslash to collect,https://www.youtube.com/watch?v=oVsdZ1URaqk
Frozen domain to lake,ladder clip,https://www.youtube.com/watch?v=nFNtKyGu-Jo
Kokiri Forest,itemless escape,https://www.youtube.com/watch?v=yKjlROAWPDU
Lake Hylia,tektite hover,
Gerudo Valley,crate hp as adult with just hoverboots,https://youtu.be/qzqgDPbOY7o
Zora's Domain,unfreeze king zora with navi,
Spirit Trial,rupee with no items - needs setup,
Botw,ocarina dive,https://www.youtube.com/watch?v=msx6hwUHXKM
botw,vine clip with sticks,https://www.youtube.com/watch?v=kweZHHT56-0
botw,vineclip,https://www.youtube.com/watch?v=AbbLcln2PIs
botw keese room gs,keese hover,https://youtu.be/tuWC0PiXs0c
botw pot room gs,no item hover (watch the right side at the timestamp),https://youtu.be/G_r44m9Ggjs?t=40
